Name;Name on Shirt;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Register Position;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Response/Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality/Tenacity;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency
D. ANDERTON;ANDERTON;Inglaterra;25;185;78;R;R;RMF; CMF RMF AMF RWF;1;78;60;82;81;81;78;77;84;79;84;83;91;86;76;90;83;84;77;70;85;78;40;83;5;7;5
MAIGA;MAIGA;Mali;25;185;80;L;R;CF; LMF LWF CF;2;79;40;83;78;82;81;73;85;76;75;68;70;68;79;78;72;65;78;90;81;71;50;70;6;4;3
GERVINHO;GERVINHO;Costa do Marfim;25;179;68;R;R;LWF; LMF RMF LWF RWF SS;1;82;45;77;88;89;84;92;86;92;81;78;78;77;80;78;78;77;68;78;84;76;45;81;6;5;5
J. J. WO?NIAK;WOZNIAK;Polonia;25;172;67;L;R;LB; LB LWF;1;67;81;79;84;86;80;85;76;80;75;76;78;77;67;79;68;71;77;83;77;84;50;84;6;5;5
ALF RAMSEY;RAMSEY;Inglaterra;25;173;72;R;R;RB; RB;1;73;79;81;87;78;84;79;77;78;79;79;83;81;70;83;70;71;82;84;80;88;50;89;7;4;4
LEMOINE;LEMOINE;Franca;25;175;68;R;R;DMF; DMF CMF;1;73;71;73;83;74;80;76;79;78;81;78;82;79;75;76;81;79;70;76;79;80;50;80;5;5;5
EDEN HAZARD;HAZARD;Belgica;25;173;70;R;R;LWF; LMF RMF AMF LWF RWF SS CF;1;87;47;81;83;85;80;91;94;92;87;81;84;79;83;83;81;80;68;74;92;78;40;84;6;7;6
LAURENT BLANC;BLANC;Franca;25;192;86;R;R;CWP; CWP CB;2;74;97;89;83;75;92;76;81;75;81;76;85;78;75;86;75;74;90;79;83;88;50;88;7;5;5
T. CISOWSKI;CISOWSKI;Franca;25;175;71;R;R;CF; SS CF;1;93;34;83;82;83;93;85;81;83;76;78;75;77;91;89;71;73;85;82;82;80;50;77;6;7;6
B. LACOMBE;LACOMBE;Franca;25;171;68;R;R;CF; SS CF;2;89;44;81;84;81;90;85;82;81;83;82;81;77;88;79;75;77;84;81;83;77;50;85;7;6;6
ANTONIO CONTE;A. CONTE;Italia;25;176;71;R;R;CMF; DMF CMF LMF RMF;2;76;76;83;91;81;88;82;80;78;81;82;82;83;74;87;74;72;85;83;82;93;50;93;7;4;5
GIROUD;GIROUD;Franca;25;193;88;L;R;CF; CF;1;87;45;90;82;80;86;78;80;76;80;74;79;76;83;85;72;72;92;90;84;88;50;83;7;5;4
GRAVESEN;GRAVESEN;Dinamarca;25;178;78;R;R;DMF; CWP CB DMF CMF;1;75;75;87;87;79;84;77;81;75;84;84;85;86;72;88;78;81;79;79;83;87;50;86;6;6;6
FABIEN BARTHEZ;BARTHEZ;Franca;25;183;78;L;R;GK; GK;1;39;89;86;70;74;95;86;68;75;70;73;74;74;53;84;50;56;55;93;70;85;90;83;6;6;6
ALI ADNAN;ALI ADNAN;Iraque;25;185;77;L;R;LB; CB LB LMF;2;70;69;80;85;85;75;84;78;85;73;74;81;82;69;86;78;82;72;76;77;73;45;67;6;4;3
IBRAHIM SUNDAY;SUNDAY;Gana;25;169;61;R;R;AMF; LMF RMF AMF LWF RWF SS;1;82;47;75;86;88;82;89;90;88;85;85;84;84;78;82;80;83;72;78;88;79;45;84;5;6;5
FRANCO OSSOLA;OSSOLA;Italia;25;174;74;L;R;LWF; LWF RWF SS CF;1;85;42;79;82;86;77;88;89;86;83;77;85;78;84;82;77;79;73;76;87;82;40;80;7;6;6
M. SISSOKO;M. SISSOKO;Mali;25;191;84;R;R;DMF; DMF CMF AMF;1;70;75;89;88;83;84;81;78;79;78;80;76;80;69;84;67;70;81;85;79;85;50;83;6;4;4
LEONEL �LVARES;ALVAREZ;Colombia;25;180;76;R;R;DMF; DMF;2;69;79;87;94;76;85;77;78;75;86;85;87;82;70;85;71;75;78;80;85;92;50;93;7;6;5
JEAN WENDLING;WENDLING;Franca;25;175;72;R;R;RB; CB RB;1;69;83;80;83;85;82;85;77;76;78;74;80;75;63;79;67;64;78;80;79;81;50;85;7;5;4
RON HARRIS;HARRIS;Inglaterra;25;173;75;R;R;CB; CB RB DMF;2;57;85;91;85;80;84;82;73;74;76;76;78;77;65;77;69;69;79;80;78;92;50;84;8;5;4
RICHARD DUNNE;DUNNE;Rep. da Irlanda;25;188;93;R;R;CB; CB RB;1;59;87;91;77;82;79;69;70;69;74;73;74;73;64;86;66;66;82;78;73;83;50;81;6;5;4
RAY WILSON;RAY WILSON;Inglaterra;25;172;72;L;R;LB; LB;1;73;83;81;86;85;86;87;78;84;79;78;82;80;65;76;67;71;76;83;80;90;50;86;7;5;5
FERENC DE�K;DEAK;Hungria;25;183;85;R;R;CF; SS CF;1;95;32;89;81;82;96;80;78;78;74;73;71;76;94;90;76;73;90;82;80;78;50;73;7;7;7
JOSEF H�GI;HUGI;Suica;25;173;75;L;R;SS; SS CF;1;92;40;81;81;83;87;85;85;81;83;76;81;77;89;84;74;75;83;81;86;82;50;81;6;7;8
ANTONIO SASTRE;SASTRE;Argentina;25;178;75;R;R;AMF; LB RB DMF CMF LMF RMF AMF LWF RWF SS CF;1;86;70;82;92;85;88;86;92;85;91;86;87;84;85;85;79;79;78;79;92;90;67;92;7;7;6
CELSO GAVI�O;CELSO;Brasil;25;181;80;R;R;CB; CB;1;68;84;87;81;77;88;75;75;75;76;80;78;83;73;93;81;73;82;84;75;83;50;79;5;5;5
C. SALCIDO;SALCIDO;Mexico;25;177;75;R;R;LB; CB LB DMF;1;76;78;82;86;82;83;82;78;79;77;80;78;80;72;86;71;78;77;84;79;83;50;80;6;7;7
NATALIO PESCIA;PESCIA;Argentina;25;168;69;R;R;DMF; CWP LB DMF CMF;2;69;82;84;87;79;84;78;78;77;82;80;83;82;73;83;75;80;82;83;79;95;50;88;6;6;5
R. ANZOLIN;ANZOLIN;Italia;25;177;71;R;R;GK; GK;1;30;92;81;69;73;96;87;54;56;58;65;62;68;44;82;44;48;44;86;58;85;92;81;7;4;4
A. DI GENNARO;DI GENNARO;Italia;25;177;72;R;R;AMF; DMF CMF AMF;1;79;58;80;83;79;78;81;83;76;88;83;92;84;79;86;84;87;70;75;86;82;40;91;6;6;5
MAURO BELLUGI;BELLUGI;Italia;25;183;77;R;R;CWP; CWP CB RB;1;64;86;85;83;77;85;75;76;75;74;75;75;77;66;83;65;68;81;84;78;87;50;82;6;5;5
BECCALOSSI;BECCALOSSI;Italia;25;176;74;L;R;AMF; CMF AMF SS;1;83;49;80;79;79;80;85;93;86;91;85;87;83;81;82;86;88;73;73;93;68;40;82;5;8;8
COMINELLI;COMINELLI;Italia;25;170;71;R;R;CMF; DMF CMF AMF;1;82;71;79;88;81;82;80;81;77;84;77;81;80;80;90;74;71;76;79;83;85;45;83;7;5;5
PESSOTTO;PESSOTTO;Italia;25;173;70;R;R;RB; CB LB RB LMF RMF;1;72;78;78;88;82;82;82;84;80;82;78;80;81;71;82;71;75;71;78;84;84;45;88;6;7;7
R. BONINSEGNA;BONINSEGNA;Italia;25;178;77;L;R;CF; CF;2;93;42;87;84;84;90;83;82;82;75;76;73;75;92;87;78;75;89;87;83;86;50;82;7;6;5
MART�N PALERMO;PALERMO;Argentina;25;187;85;L;R;CF; CF;1;91;40;90;82;77;88;78;77;77;76;73;76;74;89;86;73;78;97;86;79;86;50;79;6;5;5
ROMANO FOGLI;FOGLI;Italia;25;172;70;R;R;CMF; DMF CMF;2;73;77;75;91;82;81;83;84;77;86;83;87;80;73;82;71;77;76;80;85;85;50;87;7;6;6
TOTTI;TOTTI;Italia;25;180;80;R;R;AMF; AMF SS CF;1;90;40;83;82;82;84;84;91;84;95;92;94;88;87;91;88;87;78;76;95;85;45;86;7;8;7
M. ASCARI;ASCARI;Italia;25;185;79;R;R;GK; GK;1;30;82;83;69;68;85;78;53;54;58;62;64;69;45;83;45;47;45;85;54;78;83;79;7;5;4
CARLOS SOSA;SOSA;Argentina;25;174;70;R;R;RB; RB DMF RMF;1;77;75;78;87;83;86;84;87;84;82;81;87;85;68;84;71;78;74;78;85;85;50;86;7;5;5
PIETRO BATTARA;BATTARA;Italia;25;183;78;R;R;GK; GK;2;30;88;84;68;70;87;78;52;55;54;58;56;65;44;84;44;48;44;87;54;82;87;80;8;4;4
BERNASCONI;BERNASCONI;Italia;25;173;82;R;R;CB; CB DMF;2;58;87;89;80;77;84;78;73;71;76;72;75;74;60;79;58;60;85;94;74;86;50;79;7;5;4
F. MORINI;MORINI;Italia;25;185;78;R;R;CB; CWP CB RB;1;59;88;84;84;81;86;79;72;75;77;77;74;75;63;84;63;69;86;85;75;86;50;83;7;5;5
G. INVERNIZZI;INVERNIZZI;Italia;25;175;72;R;R;DMF; DMF CMF LMF RMF;2;67;80;83;86;83;83;81;75;77;76;78;75;77;68;79;68;71;78;82;78;85;50;84;7;6;5
MARCO NEGRI;NEGRI;Italia;25;180;78;R;R;CF; CF;1;86;42;81;84;84;87;85;84;82;75;73;74;73;84;85;71;75;81;86;83;85;50;78;7;6;5
SANDRO MAZZOLA;A. MAZZOLA;Italia;25;179;74;R;R;AMF; RMF AMF LWF RWF SS CF;2;92;53;81;86;88;88;87;94;89;91;85;90;84;90;85;79;82;77;81;93;84;45;87;7;7;6
DINO BAGGIO;DINO BAGGIO;Italia;25;188;80;R;R;DMF; DMF CMF;2;74;79;87;90;78;85;77;78;78;81;83;81;81;73;89;77;75;85;84;80;87;50;86;7;6;5
ROBERT SARA;R. SARA;Austria;25;173;72;R;R;RB; CB RB;1;78;71;82;86;81;82;83;79;81;81;80;87;87;70;82;67;85;74;76;79;90;50;88;8;6;5
GRANERO;GRANERO;Espanha;25;180;75;R;R;AMF; CMF LMF RMF AMF;2;78;58;75;85;78;76;78;83;79;81;80;81;79;72;80;80;83;70;72;83;76;50;82;5;6;4
CASTELLINI;CASTELLINI;Italia;25;180;80;R;R;GK; GK;2;30;92;85;70;72;94;85;55;58;55;60;59;64;48;83;56;48;46;92;58;86;93;85;7;4;4
NELLO MALIZIA;MALIZIA;Italia;25;182;80;R;R;GK; GK;1;30;86;84;68;71;88;78;52;55;54;58;56;65;44;83;44;48;44;85;53;82;85;78;7;4;4
MARINHO PERES;M. PERES;Brasil;25;182;80;R;R;CB; CB;1;65;88;87;82;81;87;79;78;78;78;76;79;79;65;83;65;68;87;87;78;85;50;81;7;5;4
WILLIE MILLER;MILLER;Escocia;25;180;76;R;R;CB; CWP CB;1;65;90;84;84;77;88;79;76;75;78;75;83;78;65;83;64;66;87;85;78;91;50;86;7;5;5
HOSSAM GHALY;GHALY;Egito;25;183;80;R;R;CMF; CB RB DMF CMF RMF;1;76;73;86;84;81;82;81;82;78;81;82;79;78;78;83;76;81;75;83;83;77;50;77;6;5;4
IGOR SHALIMOV;SHALIMOV;Russia;25;182;75;L;R;AMF; CMF LMF RMF AMF;1;83;63;84;85;83;79;82;89;83;86;81;83;84;81;89;89;79;78;81;88;79;50;89;5;6;6
PETER PALOT�S;PALOTAS;Hungria;25;176;75;R;R;SS; SS CF;1;89;45;81;83;83;85;80;86;80;85;76;83;75;90;82;71;75;84;81;86;80;45;84;7;7;6
LEANDRO CAST�N;LEANDRO CASTAN;Brasil;25;185;78;L;R;CB; CB LB;2;50;78;83;73;72;73;67;68;68;68;67;68;73;58;75;56;55;76;78;67;66;50;69;5;4;4
H�LZENBEIN;HOLZENBEIN;Alemanha;25;175;69;R;R;CF; LMF RMF AMF LWF RWF SS CF;2;87;50;75;86;87;88;86;83;86;82;76;80;78;85;81;70;77;83;85;85;78;50;82;8;8;7
SZYMKOWIAK;SZYMKOWIAK;Polonia;25;178;77;R;R;GK; GK;1;30;84;83;70;71;89;84;52;56;57;65;58;68;45;84;44;48;46;92;51;78;87;83;7;4;4
FAUSTO;FAUSTO;Brasil;25;186;77;R;R;DMF; CB DMF CMF;1;75;80;83;83;76;82;77;88;77;91;80;90;81;75;83;75;78;75;77;89;85;40;89;6;6;6
MERICA;MERICA;Brasil;25;168;67;R;R;DMF; DMF CMF;1;70;74;78;88;82;84;83;77;77;81;78;83;79;75;82;83;82;72;82;79;83;50;84;7;5;5
B. CORRADI;CORRADI;Italia;25;189;87;R;R;CF; CF;1;84;35;89;82;81;84;77;76;74;73;72;69;71;82;84;71;71;89;81;80;78;50;75;7;5;5
ANTUNES;ANTUNES;Portugal;25;175;72;L;R;LB; LB LMF;2;67;64;72;80;79;71;78;75;79;73;70;77;73;60;78;74;79;66;76;75;69;50;70;5;4;4
GYULA GROSICS;GROSICS;Hungria;25;180;78;R;R;GK; GK;2;45;90;87;76;76;95;85;70;71;67;70;68;72;52;84;47;48;52;89;70;92;89;85;7;4;4
DAVID CRAIG;DAVE CRAIG;Irlanda do Norte;25;173;71;R;R;RB; RB;2;74;76;79;88;83;83;84;77;81;77;78;80;81;72;81;67;72;75;81;79;85;50;86;8;5;5
J. A. �NGEL;ANGEL;Colombia;25;185;78;R;R;CF; CF;1;85;40;82;82;86;86;86;81;83;76;76;74;74;84;84;78;78;86;85;84;78;50;82;5;7;7
BEARDSLEY;BEARDSLEY;Inglaterra;25;173;72;R;R;SS; LMF RMF AMF LWF RWF SS;1;86;44;81;83;84;83;88;92;88;86;83;83;78;80;80;80;83;69;78;92;80;40;84;7;7;8
PETER REID;REID;Inglaterra;25;173;73;R;R;CMF; DMF CMF;1;76;77;83;90;76;83;79;84;81;85;82;87;83;73;84;71;74;79;80;85;93;50;91;6;5;5
G. BERGSSON;BERGSSON;Islandia;25;185;83;R;R;CB; CWP CB LB RB DMF;1;68;85;86;85;83;84;81;77;79;76;75;77;79;68;87;66;71;84;85;78;85;50;83;7;6;6
C. ERIKSEN;ERIKSEN;Dinamarca;25;181;75;R;R;CMF; CMF LMF AMF SS;1;81;52;74;87;80;77;84;87;84;88;82;90;86;80;84;91;92;67;73;88;72;40;86;5;7;7
LUIGI RIVA;RIVA;Italia;25;180;78;L;R;CF; LWF CF;1;96;35;87;81;86;92;84;85;82;76;74;75;73;92;94;83;74;93;90;84;81;50;74;7;5;4
P. DAL FIUME;DAL FIUME;Italia;25;181;77;R;R;DMF; DMF CMF RMF;1;71;77;82;87;82;83;82;78;82;82;83;80;79;72;85;72;76;81;82;79;86;50;86;7;5;5
CARLO MATTREL;MATTREL;Italia;25;183;80;R;R;GK; GK;2;30;92;85;66;66;88;84;49;50;54;60;58;61;44;83;44;45;47;85;52;81;86;83;6;4;4
GEORGES GR�N;GRUN;Belgica;25;185;78;R;R;CWP; CWP CB DMF CMF;1;68;82;83;84;77;85;75;76;72;78;77;82;76;66;86;65;62;84;88;78;88;50;79;6;6;5
BATTISTA ROTA;ROTA;Italia;25;176;78;R;R;RB; CB RB;1;72;79;83;82;84;79;82;76;81;77;74;76;78;71;82;67;72;77;83;76;79;50;80;6;5;5
O. BARBIERI;BARBIERI;Italia;25;170;67;R;R;DMF; CB DMF;1;67;83;80;88;81;83;80;79;76;81;76;79;77;67;81;68;71;77;83;78;84;50;83;6;5;5
C. NICCOLAI;NICCOLAI;Italia;25;177;75;R;R;CB; CB;1;63;85;87;82;78;84;76;72;74;75;73;74;76;65;84;61;65;85;84;75;83;50;80;7;5;5
CANDREVA;CANDREVA;Italia;25;180;72;R;R;AMF; DMF CMF LMF RMF AMF LWF RWF SS;2;75;65;77;85;79;80;80;83;83;82;83;82;83;70;79;72;78;72;76;84;78;50;81;5;5;5
JORGE TORO;J. TORO;Chile;25;172;70;R;R;AMF; CMF RMF AMF;1;81;47;82;84;83;84;84;88;85;87;82;88;85;80;84;84;83;70;73;87;83;40;88;7;5;5
L. MINOTTI;MINOTTI;Italia;25;185;77;L;R;CWP; CWP CB LB;1;73;86;84;84;77;90;81;80;76;79;83;80;78;75;86;83;73;87;84;81;87;50;84;6;5;6
BABINGTON;BABINGTON;Argentina;25;176;74;L;R;AMF; CMF AMF;1;84;55;78;78;77;77;77;93;77;92;73;94;78;84;86;91;90;68;68;95;73;40;90;6;5;2
PISCU;PISCU;Espanha;25;184;77;R;R;CB; CB;1;52;75;77;75;75;77;73;69;68;73;71;68;72;56;71;54;52;73;78;70;66;50;72;3;5;5
A. FERN�NDEZ;A. FERNANDEZ;Espanha;25;184;86;R;R;GK; GK;2;30;77;79;60;64;83;68;52;51;50;54;57;60;40;77;40;40;42;78;46;68;77;68;5;4;4
M. EMARA;EMARA;Egito;25;170;69;L;R;LMF; LB LMF;1;79;77;79;82;85;77;84;72;78;75;77;79;80;69;75;68;78;66;85;77;78;50;82;6;4;4
TOSIN;TOSIN;Brasil;25;186;79;R;R;DMF; DMF CMF;1;68;75;84;85;79;79;78;77;76;81;79;80;78;68;81;71;73;78;79;80;81;50;82;7;5;5
ABEL RESINO;ABEL;Espanha;25;181;80;R;R;GK; GK;1;30;89;84;69;66;92;78;51;52;57;55;60;66;43;85;45;50;46;86;56;84;88;77;8;4;4
JES�S RUEDA;JESUS;Espanha;25;181;78;R;R;CB; CB DMF;2;58;70;76;77;74;74;73;73;69;73;73;72;72;58;73;60;60;71;74;72;70;50;73;5;5;5
C?M?TARU;CAMATARU;Romenia;25;190;88;L;R;CF; CF;1;91;35;89;84;84;91;82;81;81;71;73;70;72;87;85;70;71;86;78;83;82;50;78;7;6;6
D. DESCHAMPS;DESCHAMPS;Franca;25;174;73;R;R;DMF; DMF;1;65;84;82;92;77;92;81;79;76;86;83;83;79;67;83;64;65;71;73;82;93;45;93;8;6;6
CIRIACO;CIRIACO;Espanha;25;175;74;R;R;CB; CB;1;56;88;88;80;80;83;79;68;70;71;67;68;69;55;77;53;53;79;86;71;90;50;82;6;4;4
S. DEMBICKI;DEMBICKI;Franca;25;172;77;R;R;CF; CF;1;88;38;86;78;83;86;85;78;76;74;70;73;73;86;92;74;69;80;82;79;82;50;73;6;7;6
ROGER;ROGER;Brasil;25;171;69;L;R;AMF; AMF;1;78;47;76;80;81;80;84;87;84;87;82;85;83;79;84;86;86;71;76;89;75;40;81;6;4;4
PJANI?;PJANIC;Bosnia e Herzegovina;25;180;70;R;R;CMF; DMF CMF AMF;1;82;60;75;84;78;78;84;89;84;91;86;90;83;80;84;93;91;68;74;90;79;45;87;7;6;5
HIDEGKUTI;HIDEGKUTI;Hungria;25;179;74;R;R;SS; AMF LWF RWF SS CF;2;92;56;81;86;84;89;84;91;83;93;85;92;82;91;88;79;80;82;85;92;80;50;96;7;6;6
HORST ECKEL;ECKEL;Alemanha;25;180;70;R;R;CMF; DMF CMF RMF AMF SS CF;1;76;77;81;92;84;84;86;84;80;87;80;85;79;76;82;71;75;77;81;86;89;50;90;6;6;5
H. WIMMER;WIMMER;Alemanha;25;179;70;R;R;RMF; LB RB DMF CMF LMF RMF LWF RWF;2;78;66;76;96;88;82;85;82;86;83;78;83;80;76;83;76;77;81;78;83;86;45;89;6;6;6
T. BERTHOLD;BERTHOLD;Alemanha;25;185;81;R;R;RB; CWP CB RB DMF RMF;2;68;85;87;88;86;83;80;77;80;75;74;78;79;70;83;67;73;86;87;78;86;50;84;7;5;5
IVAN TOPLAK;TOPLAK;Eslovenia;27;172;73;R;R;SS; AMF SS CF;1;88;37;82;81;83;86;84;83;81;82;78;78;76;87;84;73;72;83;82;84;82;50;80;6;6;5
S�REN LERBY;LERBY;Dinamarca;25;184;82;L;R;CMF; DMF CMF LMF AMF;1;77;76;87;91;82;86;80;82;81;84;85;90;87;79;93;78;77;81;79;84;97;50;89;8;5;4
R. DI MATTEO;DI MATTEO;Italia;25;180;74;R;R;CMF; CB DMF CMF LMF RMF AMF;1;76;72;82;90;82;82;83;82;83;85;82;86;82;77;87;76;80;73;77;85;83;50;85;7;5;5
M. KARHAN;KARHAN;Eslovaquia;25;189;85;R;R;CMF; DMF CMF RMF;2;76;73;91;86;78;82;75;82;79;84;79;85;81;77;88;74;77;84;79;84;87;50;85;7;5;4
MASSIMO ODDO;ODDO;Italia;25;182;77;R;R;RB; RB RMF;1;76;68;81;89;82;83;84;82;82;78;78;82;88;76;89;80;84;72;74;82;81;40;83;7;5;5
ERIC GERETS;GERETS;Belgica;25;177;77;R;R;RB; CB RB RMF;2;77;83;87;97;84;85;85;80;83;80;81;81;83;72;87;73;75;85;92;81;94;50;86;8;6;5
KENNY DALGLISH;DALGLISH;Escocia;25;177;73;R;R;SS; AMF SS CF;1;93;55;84;85;82;90;85;89;85;86;83;84;82;93;83;80;86;82;84;91;84;50;90;8;7;6
V. KESAREV;KESAREV;Russia;25;179;78;R;R;RB; CB RB;1;73;82;85;85;83;83;80;77;79;81;79;78;78;66;82;67;68;83;82;78;86;50;80;7;5;4
C. ANCELOTTI;ANCELOTTI;Italia;25;179;75;R;R;DMF; DMF CMF;1;74;76;86;87;76;89;75;78;76;85;86;86;85;71;90;78;77;78;77;83;89;45;91;7;5;5
M. ANDREOLO;ANDREOLO;Uruguai;25;169;71;R;R;DMF; DMF CMF;1;78;80;86;90;83;87;84;83;82;85;83;88;89;76;91;84;80;83;94;86;93;50;91;7;6;6
MONZ�N;MONZON;Argentina;25;179;75;L;R;LB; LB LMF;2;68;60;74;84;78;70;76;79;82;76;71;83;81;77;82;81;80;65;76;77;78;50;75;5;4;4
RONCAGLIA;RONCAGLIA;Argentina;25;177;75;R;R;CB; CB LB RB;2;61;79;75;83;78;84;80;73;74;67;69;69;69;58;72;55;53;77;80;71;79;50;79;5;5;5
JUVENAL;JUVENAL;Brasil;25;176;72;R;R;CB; CB;2;61;85;85;84;78;86;77;74;76;77;76;76;76;62;83;61;62;83;85;75;84;50;83;7;5;4
FONTANA;FONTANA;Brasil;25;187;78;R;R;CB; CB;1;62;85;90;84;75;84;76;73;71;73;73;74;73;64;86;64;66;85;84;75;87;50;80;7;5;5
BIGU;BIGU;Brasil;25;175;72;R;R;DMF; DMF CMF;2;73;77;79;88;82;86;82;79;78;80;81;81;82;74;83;72;73;76;81;81;84;50;88;8;6;5
BETO;BETO;Brasil;25;173;72;R;R;AMF; CMF LMF RMF AMF;1;76;52;83;89;86;78;86;82;85;84;82;83;83;77;87;78;82;74;74;84;74;45;82;6;6;5
J. C. ABBADIE;ABBADIE;Uruguai;25;173;72;R;R;RWF; RMF RWF SS CF;1;86;45;80;85;90;81;92;91;91;83;80;87;82;83;82;73;82;73;80;88;84;45;86;7;5;5
TRI?KOVSKI;TRICKOVSKI;Macedonia;25;182;76;R;R;CF; LMF RMF LWF RWF SS CF;2;73;41;75;79;81;75;76;76;79;68;65;67;66;73;76;62;60;75;76;75;64;50;66;4;5;5
ABEDI PEL�;ABEDI PELE;Gana;25;174;66;L;R;AMF; CMF AMF LWF SS;1;82;47;78;86;90;82;93;92;90;87;84;88;84;81;83;81;83;73;83;95;82;50;81;7;6;6
K. ASAMOAH;K. ASAMOAH;Gana;25;175;75;L;R;LMF; LB DMF CMF LMF AMF;1;76;70;83;91;85;82;88;84;85;81;83;79;82;73;86;74;80;72;84;83;80;50;83;6;4;4
ALEX TOBIN;TOBIN;Australia;25;188;81;R;R;CB; CWP CB;1;66;83;88;83;77;82;75;71;71;73;72;74;73;63;82;63;64;85;84;74;82;50;78;6;5;5
EDIN D?EKO;DZEKO;Bosnia e Herzegovina;25;193;84;R;R;CF; LWF RWF SS CF;1;92;37;90;81;82;89;78;82;76;79;77;74;74;90;84;67;73;89;81;86;80;50;79;7;7;7
ALI SHEHATA;SHEHATA;Egito;25;178;74;R;R;CB; CB RB;1;73;80;83;85;83;83;83;78;79;78;77;81;79;72;82;72;77;78;83;81;82;50;83;7;5;5
IBRAHIM YOUSSEF;YOUSSEF;Egito;25;177;74;R;R;CWP; CWP CB DMF;2;69;90;83;85;83;86;85;78;78;79;77;79;77;68;83;68;72;84;86;81;84;50;86;7;6;5
FAROUK GAAFAR;GAAFAR;Egito;25;174;71;R;R;CMF; DMF CMF AMF;1;77;73;78;87;83;83;84;83;82;85;83;84;83;77;82;78;78;75;80;85;84;45;88;7;6;5
R?DUCANU;RADUCANU;Romenia;25;178;74;R;R;AMF; CMF AMF SS;1;84;53;79;82;78;79;84;96;83;91;82;90;83;82;82;83;90;74;73;92;78;40;81;6;5;5
NIEUWENHUYS;NIEUWENHUYS;Africa do Sul;25;172;70;R;R;RWF; RMF RWF;1;86;44;77;80;84;83;89;83;86;84;78;89;79;85;88;73;74;84;83;84;82;50;86;7;6;6
I. KHUNE;KHUNE;Africa do Sul;25;181;80;R;R;GK; GK;1;30;80;87;67;70;89;80;55;62;59;59;68;71;46;80;47;55;48;85;55;80;86;75;6;4;4
TSHABALALA;TSHABALALA;Africa do Sul;25;170;71;L;R;LMF; LMF AMF LWF RWF;1;77;50;83;84;85;79;86;82;85;78;79;80;76;76;85;80;80;72;78;82;78;40;78;7;5;5
ACE NTSOELENGOE;NTSOELENGOE;Africa do Sul;25;175;71;R;R;SS; LMF RMF AMF LWF RWF SS;1;83;48;80;82;84;78;89;90;85;86;78;87;79;80;81;78;83;72;79;89;78;45;84;6;4;4
A. CHULAPA;ALOISIO;Brasil;25;189;88;R;R;CF; CF;1;86;46;92;80;78;84;76;80;75;76;75;75;73;83;85;69;76;85;80;80;75;50;78;6;6;5
ERNST HAPPEL;HAPPEL;Austria;25;178;79;R;R;CB; CWP CB LB RB;1;69;92;88;83;76;86;75;79;73;80;75;82;80;73;91;85;82;82;84;80;91;50;85;7;7;7
JOSEF BLUM;J. BLUM;Austria;25;177;80;R;R;CB; CB LB RB;1;67;91;86;83;82;86;83;77;77;79;76;80;80;74;90;84;77;83;85;78;88;50;89;7;7;7
PROHASKA;PROHASKA;Austria;25;180;75;R;R;CMF; DMF CMF AMF;1;81;61;81;86;78;79;76;86;76;89;81;93;84;80;84;81;84;77;74;90;81;40;93;6;7;6
GRZEGORZ LATO;LATO;Polonia;25;175;73;R;R;SS; RMF AMF LWF RWF SS CF;2;89;58;82;88;91;89;92;87;87;82;81;79;79;86;81;72;76;83;87;87;85;50;84;7;6;5
IGOR NETTO;I. NETTO;Russia;25;179;75;R;R;CMF; CWP CB LB RB DMF CMF LMF AMF SS;1;81;75;81;89;84;87;85;91;83;93;84;90;82;76;83;80;84;75;80;92;92;50;95;7;6;6
VALERY VORONIN;VORONIN;Russia;25;181;79;R;R;CMF; CB DMF CMF;1;73;82;87;91;84;86;81;85;81;88;80;86;82;73;88;79;78;84;86;87;94;50;91;7;6;6
JEF JURION;JURION;Belgica;25;174;73;R;R;AMF; DMF CMF RMF AMF RWF SS;1;85;58;81;86;83;84;96;93;88;90;82;90;81;79;86;82;79;69;71;90;87;50;86;7;6;6
PHILIPPE ALBERT;P. ALBERT;Belgica;25;191;83;L;R;CB; CWP CB;1;71;87;90;85;78;85;76;78;76;79;77;81;78;73;88;74;72;85;83;82;72;50;75;6;6;6
FRANKY V. D. ELST;VAN DER ELST;Belgica;25;184;77;R;R;DMF; CWP DMF CMF;1;75;84;84;89;82;91;82;83;77;84;83;85;86;75;84;75;82;79;78;84;91;50;91;8;6;6
GAGANELOV;GAGANELOV;Bulgaria;25;178;74;L;R;LB; CB LB;1;67;84;83;82;79;82;80;76;77;79;77;83;80;65;81;67;79;79;84;78;86;50;84;6;7;6
STOICHKOV;STOICHKOV;Bulgaria;25;178;82;L;R;SS; AMF LWF RWF SS CF;1;93;43;86;85;88;87;92;91;92;85;85;86;89;93;93;90;88;80;80;93;85;45;80;7;7;6
MAX VIINIOKSA;VIINIOKSA;Finlandia;25;184;86;R;R;RB; CB RB DMF;2;66;83;90;81;79;82;81;77;75;78;75;79;77;67;85;69;72;83;83;78;85;50;82;7;4;4
